genus,family,order,group,county,county_lat,county_lon,order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,FB07439890,52.1936,0.1273,2021-05-04
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,FB07440007,52.1936,0.1273,2021-05-04
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,FB07439877,52.1936,0.1273,2021-05-14
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,FB07439860,52.2073,0.1178,2021-06-10
Nuphar,Nymphaeaceae,Nymphaeales,Angiosperms,,,,Nymphaeales,Nymphaeaceae,Nuphar,Nuphar lutea,MC9249,52.4171,-0.3532,2021-08-03
Nymphaea,Nymphaeaceae,Nymphaeales,Angiosperms,,,,Nymphaeales,Nymphaeaceae,Nymphaea,Nymphaea alba,MC9250,52.4171,-0.3532,2021-08-03
Tuberaria,Cistaceae,Malvales,Angiosperms,,,,Malvales,Cistaceae,Tuberaria,Tuberaria guttata,MC9364,52.7902,-4.7549,2022-05-31
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,FB07439965,52.8107,0.632,2021-06-15
Sedum,Crassulaceae,Saxifragales,Angiosperms,,,,Saxifragales,Crassulaceae,Sedum,Sedum anglicum,MC9252,52.9882,-4.4383,2021-08-12
Calystegia,Convolvulaceae,Solanales,Angiosperms,,,,Solanales,Convolvulaceae,Calystegia,Calystegia soldanella,MC9260,52.9928,-4.4263,2021-08-12
Umbilicus,Crassulaceae,Saxifragales,Angiosperms,,,,Saxifragales,Crassulaceae,Umbilicus,Umbilicus rupestris,MC9270,52.9928,-4.4263,2021-08-12
Helosciadium,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Helosciadium,Helosciadium nodiflorum,MC9268,52.9938,-4.4403,2021-08-12
Jasione,Campanulaceae,Asterales,Angiosperms,,,,Asterales,Campanulaceae,Jasione,Jasione montana,MC9269,52.9938,-4.4403,2021-08-12
Samolus,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Samolus,Samolus valerandi,MC9267,52.994,-4.4406,2021-08-12
Torilis,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Torilis,Torilis japonica,MC9265,52.9961,-4.4302,2021-08-12
Glaucium,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Glaucium,Glaucium flavum,MC9271,52.9982,-4.422,2021-08-12
Reynoutria,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Reynoutria,Reynoutria japonica,MC 9047,52.9984,-4.4285,2020-08-21
Cakile,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Cakile,Cakile maritima,MC 9048,52.9985,-4.423,2020-08-21
Honckenya,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Honckenya,Honckenya peploides,MC 9049,52.9985,-4.423,2020-08-21
Crithmum,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Crithmum,Crithmum maritimum,MC9050,52.9993,-4.4234,2021-08-12
Crithmum,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Crithmum,Crithmum maritimum,MC 9050,52.9993,-4.4234,2020-08-21
Plantago,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Plantago,Plantago maritima,MC9266,52.9997,-4.428,2021-08-12
Lobelia,Campanulaceae,Asterales,Angiosperms,,,,Asterales,Campanulaceae,Lobelia,Lobelia dortmanna,MC9251,53.0576,-4.1502,2021-08-12
,,,,,,,,,,,,53.08045,-1.8017133,
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Euphrasia,Euphrasia micrantha x Euphrasia scottica,E4E0018-4,53.119022,-8.024541,2015-06-01
Kali,,,,,,,Caryophyllales,Chenopodiaceae,Kali,Kali turgidum,MC9254,53.1435,-4.3833,2021-08-12
Parnassia,Celastraceae,Celastrales,Angiosperms,,,,Celastrales,Celastraceae,Parnassia,Parnassia palustris,MC8997,53.1471,-4.3641,2021-08-12
Pyrola,Ericaceae,Ericales,Angiosperms,,,,Ericales,Ericaceae,Pyrola,Pyrola rotundifolia,MC9257,53.1471,-4.3641,2021-08-12
,,,,,,,,,,,,53.15342,-4.3638387,
Plantago,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,CC434_5685,53.27264,-3.04628,2021-07-14
Lotus,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Lotus,Lotus corniculatus,EZ_56_2050,53.27264,-3.04628,2021-07-14
Sanguisorba,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Sanguisorba,Sanguisorba minor,IF950_5775,53.27264,-3.04628,2021-07-14
Scabiosa,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Scabiosa,Scabiosa columbaria,IQ_993_5528,53.27264,-3.04628,2021-07-15
Helianthemum,Cistaceae,Malvales,Angiosperms,,,,Malvales,Cistaceae,Helianthemum,Helianthemum nummularium,XO891_5349,53.27264,-3.04628,2021-07-15
Campanula,Campanulaceae,Asterales,Angiosperms,,,,Asterales,Campanulaceae,Campanula,Campanula rotundifolia,CW1_6014,53.27264,-3.04628,2021-07-14
Succisa,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Succisa,Succisa pratensis,DZ_394_6068,53.27264,-3.04628,2021-07-15
Thymus,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Thymus,Thymus drucei,IO145_4019,53.27264,-3.04628,2021-07-15
Potentilla,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Potentilla,Potentilla erecta,DA576_4003,53.27264,-3.04628,2021-07-15
,,,,,,,,,,,,53.540615,-3.0904117,
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Euphrasia,Euphrasia frigida,E4E0148-4,54.455173,-2.8683448,2015-06-01
,,,,,,,,,,,,54.45991,-3.2152338,
,,,,,,,,,,,,54.501465,-3.006297,
,,,,,,,,,,,,54.503838,-3.0021858,
Primula,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Primula,Primula farinosa,DMR189,54.649868,-2.2365537,2022-05-17
Sabulina,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Sabulina,Sabulina verna,DMR191,54.649895,-2.2369723,2022-05-17
,,,,,,,,,,,,54.65003,-2.2369885,
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Euphrasia,Euphrasia nemorosa,E4E0043-6,54.84181,-1.6034673,2015-06-01
,,,,,,,,,,,,54.992085,-4.513329,
,,,,,,,,,,,,54.992897,-4.51945,
,,,,,,,,,,,,54.993847,-4.519773,
,,,,,,,,,,,,54.99452,-4.519365,
,,,,,,,,,,,,55.01349,-4.523126,
,,,,,,,,,,,,55.014893,-4.52593,
,,,,,,,,,,,,55.015347,-4.522689,
,,,,,,,,,,,,55.01551,-4.524291,
,,,,,,,,,,,,55.052246,-4.0882277,
,,,,,,,,,,,,55.053127,-4.085408,
,,,,,,,,,,,,55.053593,-4.0843887,
,,,,,,,,,,,,55.05376,-4.0820613,
,,,,,,,,,,,,55.053932,-4.0867815,
,,,,,,,,,,,,55.158577,-4.2193804,
,,,,,,,,,,,,55.408882,-3.340901,
Trilophozia,Lophoziaceae,Undeter_peristomate_moss,Bryophytes,,,,Jungermanniales,Lophoziaceae,Trilophozia,Trilophozia quinquedentata,DBELL1461,55.410084,-3.350214,2020-10-16
Apopellia,,,Bryophytes,,,,Pelliales,Pelliaceae,Apopellia,Apopellia endiviifolia,DBELL1518,55.415295,-3.343835,2021-04-22
Mesoptychia,Mesoptychiaceae,Undeter_peristomate_moss,Bryophytes,,,,Jungermanniales,Jungermanniaceae,Mesoptychia,Mesoptychia bantriensis,DBELL1517,55.415295,-3.343835,2021-04-22
Mimulus,Phrymaceae,Lamiales,Angiosperms,,,,Lamiales,Phrymaceae,Mimulus,Mimulus peregrinus,P553-3,55.42366,-3.73493,2022-03-14
,,,,,,,,,,,,55.432915,-3.3069377,
,,,,,,,,,,,,55.433224,-3.3176157,
,,,,,,,,,,,,55.443054,-3.3529723,
,,,,,,,,,,,,55.444054,-3.36026,
,,,,,,,,,,,,55.461567,-3.369404,
,,,,,,,,,,,,55.461853,-3.374239,
,,,,,,,,,,,,55.462223,-3.374236,
Anastrepta,Anastrophyllaceae,Undeter_peristomate_moss,Bryophytes,,,,Jungermanniales,Anastrophyllaceae,Anastrepta,Anastrepta orcadensis,DBELL1527,55.462543,-3.371257,2021-05-07
Nardia,Jungermanniaceae,Undetermined_liverwort_order,Bryophytes,,,,Jungermanniales,Gymnomitriaceae,Nardia,Nardia scalaris,DBELL1526,55.462543,-3.371257,2021-05-07
,,,,,,,,,,,,55.468124,-3.371388,
,,,,,,,,,,,,55.468235,-3.372515,
Conocephalum,Conocephalaceae,Undetermined_liverwort_order,Bryophytes,,,,Marchantiales,Conocephalaceae,Conocephalum,Conocephalum salebrosum,DBELL1496,55.468254,-3.371756,2021-03-12
,,,,,,,,,,,,55.468433,-3.370845,
,,,,,,,,,,,,55.483215,-3.606557,
,,,,,,,,,,,,55.599445,-3.3211112,
,,,,,,,,,,,,55.599724,-3.3211112,
,,,,,,,,,,,,55.600307,-3.319263,
,,,,,,,,,,,,55.600864,-3.321536,
,,,,,,,,,,,,55.601112,-3.3177779,
,,,,,,,,,,,,55.60278,-3.3225,
,,,,,,,,,,,,55.603054,-3.3180556,
,,,,,,,,,,,,55.63047,-3.2913969,
Erythranthe,,,,,,,Lamiales,Phrymaceae,Erythranthe,Erythranthe lutea,P554-3,55.65495,-2.240085,2022-03-14
,,,,,,,,,,,,55.658504,-4.6772184,
,,,,,,,,,,,,55.691677,-3.213138,
,,,,,,,,,,,,55.725185,-3.205271,
,,,,,,,,,,,,55.727962,-3.205433,
,,,,,,,,,,,,55.728844,-3.8781128,
,,,,,,,,,,,,55.740288,-2.631136,
,,,,,,,,,,,,55.740562,-2.633195,
,,,,,,,,,,,,55.743355,-2.630054,
,,,,,,,,,,,,55.74354,-2.630392,
,,,,,,,,,,,,55.744923,-2.633154,
,,,,,,,,,,,,55.745506,-2.622187,
,,,,,,,,,,,,55.745796,-2.62165,
,,,,,,,,,,,,55.75514,-5.042078,
,,,,,,,,,,,,55.756035,-5.042148,
,,,,,,,,,,,,55.757263,-3.243831,
,,,,,,,,,,,,55.76187,-2.2454941,
,,,,,,,,,,,,55.767685,-2.2121565,
,,,,,,,,,,,,55.8225,-3.239013,
,,,,,,,,,,,,55.823463,-3.202267,
Daphne,Thymelaeaceae,Malvales,Angiosperms,,,,Malvales,Thymelaeaceae,Daphne,Daphne laureola,DMR8,55.82852,-3.005614,2021-04-29
,,,,,,,,,,,,55.832546,-3.034489,
,,,,,,,,,,,,55.833195,-3.0336416,
,,,,,,,,,,,,55.833244,-3.0345972,
,,,,,,,,,,,,55.83658,-5.1283126,
,,,,,,,,,,,,55.83824,-3.0346925,
,,,,,,,,,,,,55.8408,-3.0593843,
Aegopodium,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Aegopodium,Aegopodium podagraria,DMR172,55.840824,-3.0354638,2022-04-24
,,,,,,,,,,,,55.84093,-3.0608094,
,,,,,,,,,,,,55.84108,-3.0684304,
,,,,,,,,,,,,55.8418,-3.0620625,
,,,,,,,,,,,,55.84208,-3.063236,
Cardamine,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Cardamine,Cardamine hirsuta,DMR158,55.84297,-3.03663,2022-03-21
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,MyBRAE,55.84297,-3.03663,2021-06-03
Angelica,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Angelica,Angelica archangelica,DMR42,55.84297,-3.03663,2021-06-11
Trifolium,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Trifolium,Trifolium dubium,DMR116,55.84297,-3.03663,2021-08-11
,,,,,,,,,,,,55.843174,-3.06943,
,,,,,,,,,,,,55.848232,-3.124976,
Medicago,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Medicago,Medicago lupulina,DMR90,55.849033,-3.0261946,2021-07-30
Sonchus,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Sonchus,Sonchus asper,DMR105,55.849033,-3.0262585,2021-08-06
,,,,,,,,,,,,55.85218,-3.161574,
,,,,,,,,,,,,55.853085,-3.161601,
Betula,Betulaceae,Fagales,Angiosperms,,,,Fagales,Betulaceae,Betula,Betula pubescens,DMR7,55.85342,-3.162611,2021-04-28
,,,,,,,,,,,,55.85348,-3.1634657,
,,,,,,,,,,,,55.853615,-3.1628628,
,,,,,,,,,,,,55.85364,-3.1635344,
,,,,,,,,,,,,55.854324,-2.986606,
Ranunculus,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus repens,DMR200,55.854385,-2.9871187,2022-05-23
,,,,,,,,,,,,55.854816,-2.986203,
,,,,,,,,,,,,55.854877,-2.990454,
Ribes,Grossulariaceae,Saxifragales,Angiosperms,,,,Saxifragales,Grossulariaceae,Ribes,Ribes rubrum,DMR4,55.85515,-2.987308,2021-04-27
,,,,,,,,,,,,55.8553,-3.1556284,
Angelica,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Angelica,Angelica sylvestris,DMR95,55.855453,-2.9860914,2021-07-30
,,,,,,,,,,,,55.855556,-3.1533334,
,,,,,,,,,,,,55.855923,-2.9860873,
,,,,,,,,,,,,55.856575,-3.1520417,
,,,,,,,,,,,,55.85659,-2.988804,
,,,,,,,,,,,,55.85661,-2.989747,
,,,,,,,,,,,,55.857224,-3.1516666,
Juglans,Juglandaceae,Fagales,Angiosperms,,,,Fagales,Juglandaceae,Juglans,Juglans regia,DMR26,55.85728,-2.99525,2021-06-03
Potentilla,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Potentilla,Potentilla sterilis,DMR160,55.857533,-2.9878535,2022-04-04
Vinca,Apocynaceae,Gentianales,Angiosperms,,,,Gentianales,Apocynaceae,Vinca,Vinca minor,DMR1,55.85763,-2.995792,2021-06-11
,,,,,,,,,,,,55.85799,-2.9866989,
,,,,,,,,,,,,55.858356,-2.9868839,
Aesculus,Sapindaceae,Sapindales,Angiosperms,,,,Sapindales,Sapindaceae,Aesculus,Aesculus hippocastanum,DMR2,55.85879,-2.990978,2021-04-27
,,,,,,,,,,,,55.859238,-2.990453,
,,,,,,,,,,,,55.85965,-3.1977925,
,,,,,,,,,,,,55.859695,-2.9857676,
,,,,,,,,,,,,55.860016,-2.987581,
,,,,,,,,,,,,55.861977,-2.9907942,
,,,,,,,,,,,,55.863167,-2.9910963,
,,,,,,,,,,,,55.86326,-2.299126,
,,,,,,,,,,,,55.863262,-2.9912584,
,,,,,,,,,,,,55.86364,-2.9925303,
,,,,,,,,,,,,55.863766,-2.9938757,
,,,,,,,,,,,,55.86396,-2.9928262,
,,,,,,,,,,,,55.86404,-2.9931955,
Sanicula,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Sanicula,Sanicula europaea,DMR100,55.864056,-2.9945862,2021-08-02
Galium,Rubiaceae,Gentianales,Angiosperms,,,,Gentianales,Rubiaceae,Galium,Galium odoratum,DMR101,55.864056,-2.9945862,2021-08-02
,,,,,,,,,,,,55.86438,-2.9945943,
,,,,,,,,,,,,55.86439,-2.9952018,
,,,,,,,,,,,,55.866936,-3.3155658,
,,,,,,,,,,,,55.87334,-2.0820704,
,,,,,,,,,,,,55.896946,-3.1032917,
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus sylvestris,BOL1,55.906696,-2.7976513,2021-04-29
,,,,,,,,,,,,55.908024,-2.7968469,
,,,,,,,,,,,,55.908066,-2.7968156,
,,,,,,,,,,,,55.908474,-2.7965522,
,,,,,,,,,,,,55.909573,-2.795791,
,,,,,,,,,,,,55.909622,-2.7980633,
,,,,,,,,,,,,55.914734,-2.9592297,
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus sylvestris,ORM1,55.91792,-2.940256,2021-04-29
,,,,,,,,,,,,55.918793,-3.1866872,
,,,,,,,,,,,,55.919003,-3.1833496,
,,,,,,,,,,,,55.919132,-3.1829374,
,,,,,,,,,,,,55.91957,-3.1840389,
,,,,,,,,,,,,55.923237,-3.1888394,
,,,,,,,,,,,,55.92498,-3.1961105,
,,,,,,,,,,,,55.93832,-3.153153,
,,,,,,,,,,,,55.939747,-2.6335301,
,,,,,,,,,,,,55.940845,-2.634973,
,,,,,,,,,,,,55.94122,-2.635371,
,,,,,,,,,,,,55.941425,-2.635625,
,,,,,,,,,,,,55.94151,-2.635752,
,,,,,,,,,,,,55.941605,-2.635838,
,,,,,,,,,,,,55.941795,-2.636018,
,,,,,,,,,,,,55.941917,-2.636177,
,,,,,,,,,,,,55.942707,-2.637146,
,,,,,,,,,,,,55.95042,-3.1235821,
,,,,,,,,,,,,55.963806,-3.2053418,
,,,,,,,,,,,,55.964092,-3.202813,
Hedera,Araliaceae,Apiales,Angiosperms,,,,Apiales,Araliaceae,Hedera,Hedera helix,DBELL1481,55.964226,-3.20208,2020-11-23
Erica,Ericaceae,Ericales,Angiosperms,,,,Ericales,Ericaceae,Erica,Erica cinerea,DMR89,55.964363,-3.2046146,2021-07-14
Valerianella,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Valerianella,Valerianella locusta,DMR177,55.964397,-3.2047598,2022-04-27
,,,,,,,,,,,,55.964397,-3.2046638,
,,,,,,,,,,,,55.96446,-3.2047458,
,,,,,,,,,,,,55.96523,-3.2091668,
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD01,55.966667,-3.211389,2021-04-16
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD02,55.966667,-3.211389,2021-04-16
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD03,55.966667,-3.211389,2021-04-16
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD04,55.966667,-3.211389,2021-05-04
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD05,55.966667,-3.211389,2021-05-04
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD06,55.966667,-3.211389,2021-05-04
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD07,55.966667,-3.211389,2021-05-04
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD08,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD09,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD10,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD11,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD12,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD13,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD14,55.966667,-3.211389,2021-05-05
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD15,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD16,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD17,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD18,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD19,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD20,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD21,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD22,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD23,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD24,55.966667,-3.211389,2021-05-07
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,AD25,55.966667,-3.211389,2021-05-07
,,,,,,,,,,,,55.967186,-3.2098389,
,,,,,,,,,,,,55.988464,-2.8975942,
,,,,,,,,,,,,55.988495,-2.897098,
,,,,,,,,,,,,56.008137,-2.7442834,
,,,,,,,,,,,,56.008904,-2.8350718,
,,,,,,,,,,,,56.012184,-2.65449,
,,,,,,,,,,,,56.01257,-2.8522809,
,,,,,,,,,,,,56.014233,-2.8496387,
,,,,,,,,,,,,56.01438,-2.849947,
,,,,,,,,,,,,56.0144,-2.8497548,
,,,,,,,,,,,,56.014446,-2.849836,
Suaeda,Amaranthaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Chenopodiaceae,Suaeda,Suaeda maritima,DMR146,56.015163,-2.8501565,2021-09-05
,,,,,,,,,,,,56.015877,-2.8499315,
,,,,,,,,,,,,56.016113,-2.8530807,
,,,,,,,,,,,,56.016125,-2.8528564,
,,,,,,,,,,,,56.0208,-2.840382,
,,,,,,,,,,,,56.021034,-2.8405955,
Utricularia,Lentibulariaceae,Lamiales,Angiosperms,,,,Lamiales,Lentibulariaceae,Utricularia,Utricularia vulgaris,DMR5,56.02184,-2.857214,2021-04-27
,,,,,,,,,,,,56.02347,-2.8572378,
,,,,,,,,,,,,56.0235,-2.8428793,
Cerastium,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium arvense,DMR175,56.023808,-2.8435278,2022-04-26
,,,,,,,,,,,,56.02391,-2.8427598,
,,,,,,,,,,,,56.02392,-2.857296,
,,,,,,,,,,,,56.025093,-2.8718743,
,,,,,,,,,,,,56.025913,-2.8598273,
,,,,,,,,,,,,56.026863,-2.8627365,
,,,,,,,,,,,,56.02714,-2.8694496,
,,,,,,,,,,,,56.02718,-2.867525,
,,,,,,,,,,,,56.027214,-2.869387,
Atriplex,Amaranthaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Chenopodiaceae,Atriplex,Atriplex littoralis,DMR126,56.035156,-2.8655534,2021-08-18
Tripleurospermum,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Tripleurospermum,Tripleurospermum maritimum,DMR148,56.036945,-2.864149,2021-09-05
,,,,,,,,,,,,56.03764,-2.8558187,
Ligusticum,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Ligusticum,Ligusticum scoticum,DMR57,56.03768,-2.855306,2021-06-21
,,,,,,,,,,,,56.047886,-2.8332329,
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Euphrasia,Euphrasia arctica,BER-1,56.057022,-2.706443,2019-09-14
,,,,,,,,,,,,56.060856,-2.6897988,
,,,,,,,,,,,,56.08499,-4.5749936,
,,,,,,,,,,,,56.106567,-4.6089244,
,,,,,,,,,,,,56.15796,-4.672966,
,,,,,,,,,,,,56.161045,-4.67157,
,,,,,,,,,,,,56.16958,-3.6715195,
,,,,,,,,,,,,56.174458,-4.372416,
,,,,,,,,,,,,56.17545,-4.369464,
,,,,,,,,,,,,56.176537,-4.3714,
,,,,,,,,,,,,56.176838,-3.3790977,
,,,,,,,,,,,,56.1779,-4.278015,
,,,,,,,,,,,,56.187035,-3.965042,
,,,,,,,,,,,,56.24588,-4.6861634,
,,,,,,,,,,,,56.248825,-4.6852236,
,,,,,,,,,,,,56.26666,-4.422704,
,,,,,,,,,,,,56.343616,-4.707631,
,,,,,,,,,,,,56.343796,-4.7078056,
,,,,,,,,,,,,56.3724,-4.2655997,
,,,,,,,,,,,,56.471138,-4.314098,
,,,,,,,,,,,,56.522095,-4.275242,
,,,,,,,,,,,,56.52222,-4.276111,
Silene,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Silene,Silene acaulis,DMR50,56.522392,-4.275162,2021-06-16
,,,,,,,,,,,,56.525555,-4.282778,
,,,,,,,,,,,,56.52722,-4.2855554,
,,,,,,,,,,,,56.52722,-4.2858334,
,,,,,,,,,,,,56.536797,-4.2889237,
Bistorta,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Bistorta,Bistorta vivipara,DMR70,56.539185,-4.289979,2021-06-29
,,,,,,,,,,,,56.540096,-4.2878704,
,,,,,,,,,,,,56.541595,-4.2246356,
,,,,,,,,,,,,56.542828,-4.226562,
Lysimachia,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Lysimachia,Lysimachia nemorum,DMR25,56.55812,-5.25415,2021-06-02
,,,,,,,,,,,,56.58865,-3.6297088,
,,,,,,,,,,,,56.64263,-5.013828,
,,,,,,,,,,,,56.643627,-3.724058,
,,,,,,,,,,,,56.645744,-3.6994624,
,,,,,,,,,,,,56.645935,-3.7631989,
,,,,,,,,,,,,56.64941,-3.8015058,
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus sylvestris,M5,56.64971,-3.8026128,2016-05-05
,,,,,,,,,,,,56.652267,-4.0104127,
,,,,,,,,,,,,56.655426,-4.9931936,
,,,,,,,,,,,,56.657562,-4.989234,
,,,,,,,,,,,,56.661346,-5.073299,
,,,,,,,,,,,,56.662148,-3.772949,
,,,,,,,,,,,,56.66476,-3.7745368,
,,,,,,,,,,,,56.669125,-3.6902502,
,,,,,,,,,,,,56.68997,-4.3323298,
,,,,,,,,,,,,56.691784,-4.3882966,
,,,,,,,,,,,,56.705547,-3.7692711,
,,,,,,,,,,,,56.71635,-3.9125192,
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus sylvestris,M41,56.717518,-3.935946,2021-05-26
,,,,,,,,,,,,56.71767,-3.902961,
,,,,,,,,,,,,56.727688,-3.8217247,
,,,,,,,,,,,,56.740845,-3.7704153,
,,,,,,,,,,,,56.743416,-3.772253,
,,,,,,,,,,,,56.761497,-3.8492599,
,,,,,,,,,,,,56.761906,-3.8502614,
,,,,,,,,,,,,56.76226,-3.850666,
,,,,,,,,,,,,56.76233,-3.85199,
